sample,yield,dilution,time,productAbsorbance,substrateConcentration,correction
PNPH_I_1,1.54,10000,2400,136,0.007,
PNPH_I_1,1.54,10000,2400,178.1,0.0023331,
PNPH_I_1,1.54,10000,2400,144.3,0.0007777,
PNPH_I_1,1.54,10000,2400,82.4,0.0002593,
PNPH_I_1,1.54,10000,2400,42.5,0.0000864,
PNPH_I_1,1.54,10000,2400,29.5,0.0000288,
PNPH_I_1,1.54,10000,2400,0,0,
PNPH_I_2,0.945,10000,2400,141.7,0.007,
PNPH_I_2,0.945,10000,2400,185.8,0.0023331,
PNPH_I_2,0.945,10000,2400,155.3,0.0007777,
PNPH_I_2,0.945,10000,2400,92.8,0.0002593,
PNPH_I_2,0.945,10000,2400,62.3,0.0000864,
PNPH_I_2,0.945,10000,2400,34.3,0.0000288,
PNPH_I_2,0.945,10000,2400,8.3,0,
