sample,yield,dilution,time,productAbsorbance,substrateConcentration
PNPH_I_1,1.54,10000,2400,136,0.007
PNPH_I_1,1.54,10000,2400,178.1,0.0023331
PNPH_I_1,1.54,10000,2400,144.3,0.0007777
PNPH_I_1,1.54,10000,2400,82.4,0.0002593
PNPH_I_1,1.54,10000,2400,42.5,0.0000864
PNPH_I_1,1.54,10000,2400,29.5,0.0000288
PNPH_I_1,1.54,10000,2400,0,0
PNPH_I_2,0.945,10000,2400,141.7,0.007
PNPH_I_2,0.945,10000,2400,185.8,0.0023331
PNPH_I_2,0.945,10000,2400,155.3,0.0007777
PNPH_I_2,0.945,10000,2400,92.8,0.0002593
PNPH_I_2,0.945,10000,2400,62.3,0.0000864
PNPH_I_2,0.945,10000,2400,34.3,0.0000288
PNPH_I_2,0.945,10000,2400,8.3,0
PNPH_I_3,0.945,10000,2400,180.8,0.007
PNPH_I_3,0.945,10000,2400,143.1,0.0023331
PNPH_I_3,0.945,10000,2400,79.7,0.0007777
PNPH_I_3,0.945,10000,2400,68.5,0.0002593
PNPH_I_3,0.945,10000,2400,38.1,0.0000864
PNPH_I_3,0.945,10000,2400,20.3,0.0000288
PNPH_I_3,0.945,10000,2400,10.3,0
0) S33A_I,2.615,100,2400,759.6,0.007
0) S33A_I,2.615,100,2400,649.1,0.0023331
0) S33A_I,2.615,100,2400,219.8,0.0007777
0) S33A_I,2.615,100,2400,142.8,0.0002593
0) S33A_I,2.615,100,2400,61.5,0.0000864
0) S33A_I,2.615,100,2400,29.8,0.0000288
0) S33A_I,2.615,100,2400,10.1,0
1) H64A_I,2.728,100,2400,1143.9,0.007
1) H64A_I,2.728,100,2400,718.7,0.0023331
1) H64A_I,2.728,100,2400,371.9,0.0007777
1) H64A_I,2.728,100,2400,194.9,0.0002593
1) H64A_I,2.728,100,2400,88.2,0.0000864
1) H64A_I,2.728,100,2400,32.4,0.0000288
1) H64A_I,2.728,100,2400,10,0
2) R84A_I,2.622,100,2400,351.7,0.007
2) R84A_I,2.622,100,2400,210.9,0.0023331
2) R84A_I,2.622,100,2400,135.2,0.0007777
2) R84A_I,2.622,100,2400,85.6,0.0002593
2) R84A_I,2.622,100,2400,40.5,0.0000864
2) R84A_I,2.622,100,2400,20.1,0.0000288
2) R84A_I,2.622,100,2400,9.5,0
3) H86A_I,2.426,100,2400,506.9,0.007
3) H86A_I,2.426,100,2400,271.2,0.0023331
3) H86A_I,2.426,100,2400,151.8,0.0007777
3) H86A_I,2.426,100,2400,89.6,0.0002593
3) H86A_I,2.426,100,2400,57.7,0.0000864
3) H86A_I,2.426,100,2400,19.5,0.0000288
3) H86A_I,2.426,100,2400,9.8,0
4) Y88A_I,2.461,10000,2400,276.3,0.007
4) Y88A_I,2.461,10000,2400,154.3,0.0023331
4) Y88A_I,2.461,10000,2400,97.2,0.0007777
4) Y88A_I,2.461,10000,2400,62.9,0.0002593
4) Y88A_I,2.461,10000,2400,28.6,0.0000864
4) Y88A_I,2.461,10000,2400,13.6,0.0000288
4) Y88A_I,2.461,10000,2400,10.7,0
5) F159A_I,2.875,1000,2400,824.8,0.007
5) F159A_I,2.875,1000,2400,417.2,0.0023331
5) F159A_I,2.875,1000,2400,243,0.0007777
5) F159A_I,2.875,1000,2400,153.4,0.0002593
5) F159A_I,2.875,1000,2400,66.3,0.0000864
5) F159A_I,2.875,1000,2400,42.1,0.0000288
5) F159A_I,2.875,1000,2400,9,0
6) Y192A_I_1,2.516,100,2400,0,0.007
6) Y192A_I_1,2.516,100,2400,0,0.0023331
6) Y192A_I_1,2.516,100,2400,0,0.0007777
6) Y192A_I_1,2.516,100,2400,0,0.0002593
6) Y192A_I_1,2.516,100,2400,0,0.0000864
6) Y192A_I_1,2.516,100,2400,0,0.0000288
6) Y192A_I_1,2.516,100,2400,0,0
6) Y192A_I_2,1.792,100,2400,8.6,0.0023331
6) Y192A_I_2,1.792,100,2400,7.9,0.0007777
6) Y192A_I_2,1.792,100,2400,7.4,0.0002593
6) Y192A_I_2,1.792,100,2400,7.8,0.0000864
6) Y192A_I_2,1.792,100,2400,7.1,0.0000288
6) Y192A_I_2,1.792,100,2400,7.1,0
6) Y192A_I_3,0.719,100,2400,9.3,0.007
6) Y192A_I_3,0.719,100,2400,9.3,0.0023331
6) Y192A_I_3,0.719,100,2400,9.4,0.0007777
6) Y192A_I_3,0.719,100,2400,9.3,0.0002593
6) Y192A_I_3,0.719,100,2400,9.1,0.0000864
6) Y192A_I_3,0.719,100,2400,9,0.0000288
6) Y192A_I_3,0.719,100,2400,9.5,0
7) V195A_I,1.838,10000,2400,491.5,0.007
7) V195A_I,1.838,10000,2400,348.8,0.0023331
7) V195A_I,1.838,10000,2400,210.2,0.0007777
7) V195A_I,1.838,10000,2400,141.5,0.0002593
7) V195A_I,1.838,10000,2400,80.2,0.0000864
7) V195A_I,1.838,10000,2400,26.2,0.0000288
7) V195A_I,1.838,10000,2400,10,0
8) F200A_I,1.898,100,2400,927.2,0.007
8) F200A_I,1.898,100,2400,390.6,0.0023331
8) F200A_I,1.898,100,2400,159.3,0.0007777
8) F200A_I,1.898,100,2400,67.1,0.0002593
8) F200A_I,1.898,100,2400,21.3,0.0000864
8) F200A_I,1.898,100,2400,8.1,0.0000288
8) F200A_I,1.898,100,2400,8.6,0
9) E201A_I_1,2.387,1000,2400,426.4,0.007
9) E201A_I_1,2.387,1000,2400,241.7,0.0023331
9) E201A_I_1,2.387,1000,2400,110.5,0.0007777
9) E201A_I_1,2.387,1000,2400,30.8,0.0002593
9) E201A_I_1,2.387,1000,2400,12,0.0000864
9) E201A_I_1,2.387,1000,2400,0,0.0000288
9) E201A_I_1,2.387,1000,2400,0,0
9) E201A_I_2,1.05,1000,2400,231.7,0.007
9) E201A_I_2,1.05,1000,2400,296.9,0.0023331
9) E201A_I_2,1.05,1000,2400,85.2,0.0007777
9) E201A_I_2,1.05,1000,2400,40.7,0.0002593
9) E201A_I_2,1.05,1000,2400,13.6,0.0000864
9) E201A_I_2,1.05,1000,2400,7.1,0.0000288
9) E201A_I_2,1.05,1000,2400,11.8,0
10) V217A_I,1.653,10000,2400,567.5,0.007
10) V217A_I,1.653,10000,2400,403.7,0.0023331
10) V217A_I,1.653,10000,2400,240.4,0.0007777
10) V217A_I,1.653,10000,2400,131.6,0.0002593
10) V217A_I,1.653,10000,2400,64,0.0000864
10) V217A_I,1.653,10000,2400,28.7,0.0000288
10) V217A_I,1.653,10000,2400,10.5,0
11) M219A_I,1.921,1000,2400,412.9,0.007
11) M219A_I,1.921,1000,2400,220.1,0.0023331
11) M219A_I,1.921,1000,2400,105.4,0.0007777
11) M219A_I,1.921,1000,2400,44.5,0.0002593
11) M219A_I,1.921,1000,2400,18.4,0.0000864
11) M219A_I,1.921,1000,2400,10,0.0000288
11) M219A_I,1.921,1000,2400,10.5,0
12) S220_I,1.484,1000,2400,431.7,0.007
